reference_number,category,name,control,,hazard_control_method,risk
184,Blasting,Carrying of explosives,Carry detonators and explosives separately and as OSH require. Trained personnel to carry explosives.,,Isolate,
180,Blasting,Fly rock,"Calculate correct powder factor for the rock being blasted. Correct burden and stemming to minimise fly rock hazard. Remove all
people and property from blast site.",,Isolate,
183,Blasting,Hearing damage from drilling and blasting,"Wear hearing protection at an appropriate class (5) at all times when drilling and blasting. Note: class method takes over from grade
as of 30th June 03.",,Minimise,
182,Blasting,Premature Detonation,"Use only appropriate blasting techniques and equipment. If using electric systems avoid blasting in thunder/lighting or wet
conditions.",,Eliminate,
181,Blasting,Unauthorised people in the blast site,"Ensure access is secured. Ensure all signage is in place and danger tape is installed. Sound warning on hooter and/or warn forest
users over the radio of intentions. Notify OSH of activity being carried out.",,Isolate,
457,Breaking out,Fatigue,"Breaking out, especially in a hauler crew, can be very physical. Fatigue will reduce alertness and concentration. Use more breaker
outs. If possible, break up hard pulls with easy pulls. Get a good night’s sleep and ensure a good diet. Ensure adequate fluid intake
during the day.",,Minimise,
460,Breaking out,Rope bight,"“In a rope bight” is a dangerous position; it is created by a change in direction of a rope. Never remain in the bight of any operation
rope unless sufficient safety precautions have been taken. Have effective communication with the winch operator. Check this area is
clear before giving the go ahead. Watch for any debris that might be thrown when the rope tightens and stand in a safe place.",,Isolate,
459,Breaking out,Ropes/Chains,"When logs are being winched in, the ropes and chains are under enormous tension. If this tension is suddenly released the rope
will fly back towards the machine. Make sure the cab protection for the operator is in good order. When breaking out stand in a safe
place – to the side and behind the drag being pulled to the machine is usually best. Make sure communication between the operator
and the breaker out is good.",,Isolate,
458,Breaking out,Spragging on the rope,"Be aware that most ropes will have some spraggs and care is needed when handling them. Keep the ropes in good condition and
replace ropes or parts of ropes when they become too frayed. Wear gloves.",,Eliminate,
48,Chainsaw Hazards,Burns from exhaust/muffler,Do not operate saw in poorly ventilated or confined areas for prolonged periods.,,Eliminate,
45,Chainsaw Hazards,Cuts when sharpening chain,Work on a firm base and wear gloves/eye protection.,,Minimise,
47,Chainsaw Hazards,Kickback,"Do not use upper tip of cutter bar.
Avoid accidental contact between upper tip of cutter bar and branches and logs other than the one being cut.
Always use the mitt.
Ensure the chain brake is working.",,Minimise,
46,Chainsaw Hazards,Moving chainsaw chain,"Wear all required protective equipment, and ensure it is in good condition.
Use correct stance and work techniques.
Take appropriate action if low in energy, dehydrated, or fatigued.",,Minimise,
49,Chainsaw Hazards,Saw chain,"The chain can break or fly off the bar, stay clear at least 70 metres when machine is operating.",,Minimise,
24,Environmental Hazards,Dust,"Reduce traffic speed where dust may be an issue to either neighbours or own works.
Use water where necessary to reduce dust or cover with other less dusty material.",,Eliminate,
26,Environmental Hazards,Excess fill material,"Place on well benched areas where it cannot enter waterways.
AClowmapysa cctoamnpd aocvtefirllssopwro.perly.",,Eliminate,
22,Environmental Hazards,Scouring of soil,"Ensure that water is drained away from fill slopes onto existing hard ground using fluming where required.
Over sow fill slopes where erosion potential is high.
Use slash to reduce velocity of water.
Always put water control in place when rain threatens works overnight or over weekend.",,Eliminate,
25,Environmental Hazards,"Spillage of oil, fuel etc","Use appropriate containers to catch unwanted oil and dispose of in an approved manner.
Do not leave refuelling operations unattended.
Use proper filling devices such as funnels.
Should spill occur contain the spill and prevent any runoff into waterways, remove soil for proper disposal.",,Eliminate,
27,Environmental Hazards,Stumps and strippings,"Place on well benched areas where it cannot enter waterways.
Compact and over sow.
Ensure stumps are stable and cannot roll away from proper site.",,Eliminate,
91,Falls and Trips,Hazards leading to falls and trips,"Beware of loose materials in recently burnt areas. decayed logs or branches.When walking across recently felled trees, place the foot at the junction of the branch and trunk. Walk - never run - down slopes. Maintain safe walking distances.In hazardous circumstances, always know a safe escape route. Carry tools at the hip on the downhill side.Plan ahead - identify hazards and select a safe route. Always have footwear properly laced up and do not wear worn or slipperysoled footwear.Take care when walking on freshly barked, wet or Hand held equipment should be held in such a manner so that it can be thrown toone side in the event of a fall.",,Minimise,
441,Felling,Back pulling,"Back pulling trees is a difficult, dangerous task. If not done carefully the machine may not hold the trees weight or the tree may notfall in the planned direction putting people, machines, power lines and other assets at risk. Ensure clear communication between allworkers involved in back pulling operations and machine is big enough for the job. Check all rigging carefully for possible faults andmake sure that all other equipment needed for the job is on hand before work commences. Test the tree with the pulling rope toensure adequate leverage before any felling cuts are made in the tree. Use approved felling techniques. Have any endangeredpower lines disconnected.",,Eliminate,
435,Felling,Dead spars and dead heads,"Dead spars and heads are difficult to fell and can be very unstable. They can fall at any time and fly to bits when felling or hitting the
ground. Fell all dead spars as soon as possible. Use a machine to assist if possible. Take care when felling as sailors are common.
Use a deeper scarf than normal. If required use an observer.",,Eliminate,
